TimeOfDay,Price,Change,%Change,Volume
22:54:58,528.39,+0.59,(+0.11%),"31,377,520 "
22:55:18,528.39,+0.59,(+0.11%),"31,377,520 "
22:55:38,528.39,+0.59,(+0.11%),"31,377,520 "
22:55:57,528.39,+0.59,(+0.11%),"31,377,520 "
22:56:17,528.39,+0.59,(+0.11%),"31,377,520 "
22:56:37,528.39,+0.59,(+0.11%),"31,377,520 "
22:56:56,528.39,+0.59,(+0.11%),"31,377,520 "
22:57:16,528.39,+0.59,(+0.11%),"31,377,520 "
22:57:36,528.39,+0.59,(+0.11%),"31,377,520 "
22:57:55,528.39,+0.59,(+0.11%),"31,377,520 "
22:58:15,528.39,+0.59,(+0.11%),"31,377,520 "
22:58:35,528.39,+0.59,(+0.11%),"31,377,520 "
22:58:55,528.39,+0.59,(+0.11%),"31,377,520 "
22:59:14,528.39,+0.59,(+0.11%),"31,377,520 "
22:59:34,528.39,+0.59,(+0.11%),"31,377,520 "
22:59:54,528.39,+0.59,(+0.11%),"31,377,520 "
23:00:13,528.39,+0.59,(+0.11%),"31,377,520 "
23:00:33,528.39,+0.59,(+0.11%),"31,377,520 "
23:00:52,528.39,+0.59,(+0.11%),"31,377,520 "
23:01:12,528.39,+0.59,(+0.11%),"31,377,520 "
23:01:32,528.39,+0.59,(+0.11%),"31,377,520 "
23:01:52,528.39,+0.59,(+0.11%),"31,377,520 "
23:02:11,528.39,+0.59,(+0.11%),"31,377,520 "
23:02:31,528.39,+0.59,(+0.11%),"31,377,520 "
23:02:51,528.39,+0.59,(+0.11%),"31,377,520 "
23:03:10,528.39,+0.59,(+0.11%),"31,377,520 "
23:03:30,528.39,+0.59,(+0.11%),"31,377,520 "
23:03:50,528.39,+0.59,(+0.11%),"31,377,520 "
23:04:10,528.39,+0.59,(+0.11%),"31,377,520 "
23:04:30,528.39,+0.59,(+0.11%),"31,377,520 "
23:04:49,528.39,+0.59,(+0.11%),"31,377,520 "
23:05:09,528.39,+0.59,(+0.11%),"31,377,520 "
23:05:29,528.39,+0.59,(+0.11%),"31,377,520 "
23:05:48,528.39,+0.59,(+0.11%),"31,377,520 "
23:06:08,528.39,+0.59,(+0.11%),"31,377,520 "
23:06:28,528.39,+0.59,(+0.11%),"31,377,520 "
23:06:48,528.39,+0.59,(+0.11%),"31,377,520 "
23:07:08,528.39,+0.59,(+0.11%),"31,377,520 "
23:07:28,528.39,+0.59,(+0.11%),"31,377,520 "
23:07:47,528.39,+0.59,(+0.11%),"31,377,520 "
23:08:07,528.39,+0.59,(+0.11%),"31,377,520 "
23:08:27,528.39,+0.59,(+0.11%),"31,377,520 "
23:08:47,528.39,+0.59,(+0.11%),"31,377,520 "
23:09:07,528.39,+0.59,(+0.11%),"31,377,520 "
23:09:27,528.39,+0.59,(+0.11%),"31,377,520 "
23:09:46,528.39,+0.59,(+0.11%),"31,377,520 "
23:10:06,528.39,+0.59,(+0.11%),"31,377,520 "
23:10:26,528.39,+0.59,(+0.11%),"31,377,520 "
23:10:46,528.39,+0.59,(+0.11%),"31,377,520 "
23:11:06,528.39,+0.59,(+0.11%),"31,377,520 "
23:11:25,528.39,+0.59,(+0.11%),"31,377,520 "
23:11:45,528.39,+0.59,(+0.11%),"31,377,520 "
23:12:04,528.39,+0.59,(+0.11%),"31,377,520 "
23:12:24,528.39,+0.59,(+0.11%),"31,377,520 "
23:12:44,528.39,+0.59,(+0.11%),"31,377,520 "
23:13:04,528.39,+0.59,(+0.11%),"31,377,520 "
23:13:23,528.39,+0.59,(+0.11%),"31,377,520 "
23:13:43,528.39,+0.59,(+0.11%),"31,377,520 "
23:14:03,528.39,+0.59,(+0.11%),"31,377,520 "
23:14:22,528.39,+0.59,(+0.11%),"31,377,520 "
23:14:42,528.39,+0.59,(+0.11%),"31,377,520 "
23:15:02,528.39,+0.59,(+0.11%),"31,377,520 "
23:15:22,528.39,+0.59,(+0.11%),"31,377,520 "
23:15:41,528.39,+0.59,(+0.11%),"31,377,520 "
23:16:01,528.39,+0.59,(+0.11%),"31,377,520 "
23:16:21,528.39,+0.59,(+0.11%),"31,377,520 "
23:16:41,528.39,+0.59,(+0.11%),"31,377,520 "
23:17:00,528.39,+0.59,(+0.11%),"31,377,520 "
23:17:20,528.39,+0.59,(+0.11%),"31,377,520 "
23:17:40,528.39,+0.59,(+0.11%),"31,377,520 "
23:18:00,528.39,+0.59,(+0.11%),"31,377,520 "
23:18:20,528.39,+0.59,(+0.11%),"31,377,520 "
23:18:40,528.39,+0.59,(+0.11%),"31,377,520 "
23:19:00,528.39,+0.59,(+0.11%),"31,377,520 "
23:19:19,528.39,+0.59,(+0.11%),"31,377,520 "
23:19:39,528.39,+0.59,(+0.11%),"31,377,520 "
23:19:59,528.39,+0.59,(+0.11%),"31,377,520 "
23:20:18,528.39,+0.59,(+0.11%),"31,377,520 "
23:20:39,528.39,+0.59,(+0.11%),"31,377,520 "
23:20:59,528.39,+0.59,(+0.11%),"31,377,520 "
23:21:19,528.39,+0.59,(+0.11%),"31,377,520 "
23:21:39,528.39,+0.59,(+0.11%),"31,377,520 "
23:21:58,528.39,+0.59,(+0.11%),"31,377,520 "
23:22:18,528.39,+0.59,(+0.11%),"31,377,520 "
23:22:38,528.39,+0.59,(+0.11%),"31,377,520 "
23:22:58,528.39,+0.59,(+0.11%),"31,377,520 "
23:23:18,528.39,+0.59,(+0.11%),"31,377,520 "
23:23:38,528.39,+0.59,(+0.11%),"31,377,520 "
23:23:58,528.39,+0.59,(+0.11%),"31,377,520 "
23:24:18,528.39,+0.59,(+0.11%),"31,377,520 "
23:24:38,528.39,+0.59,(+0.11%),"31,377,520 "
23:24:58,528.39,+0.59,(+0.11%),"31,377,520 "
23:25:18,528.39,+0.59,(+0.11%),"31,377,520 "
23:25:38,528.39,+0.59,(+0.11%),"31,377,520 "
23:25:57,528.39,+0.59,(+0.11%),"31,377,520 "
23:26:17,528.39,+0.59,(+0.11%),"31,377,520 "
23:26:37,528.39,+0.59,(+0.11%),"31,377,520 "
23:26:56,528.39,+0.59,(+0.11%),"31,377,520 "
23:27:16,528.39,+0.59,(+0.11%),"31,377,520 "
23:27:36,528.39,+0.59,(+0.11%),"31,377,520 "
23:27:55,528.39,+0.59,(+0.11%),"31,377,520 "
23:28:15,528.39,+0.59,(+0.11%),"31,377,520 "
23:28:35,528.39,+0.59,(+0.11%),"31,377,520 "
23:28:55,528.39,+0.59,(+0.11%),"31,377,520 "
23:29:14,528.39,+0.59,(+0.11%),"31,377,520 "
23:29:34,528.39,+0.59,(+0.11%),"31,377,520 "
23:29:54,528.39,+0.59,(+0.11%),"31,377,520 "
23:30:14,528.39,+0.59,(+0.11%),"31,377,520 "
23:30:34,528.39,+0.59,(+0.11%),"31,377,520 "
23:30:53,528.39,+0.59,(+0.11%),"31,377,520 "
23:31:13,528.39,+0.59,(+0.11%),"31,377,520 "
23:31:33,528.39,+0.59,(+0.11%),"31,377,520 "
23:31:53,528.39,+0.59,(+0.11%),"31,377,520 "
23:32:12,528.39,+0.59,(+0.11%),"31,377,520 "
23:32:32,528.39,+0.59,(+0.11%),"31,377,520 "
23:32:52,528.39,+0.59,(+0.11%),"31,377,520 "
23:33:11,528.39,+0.59,(+0.11%),"31,377,520 "
23:33:31,528.39,+0.59,(+0.11%),"31,377,520 "
23:33:51,528.39,+0.59,(+0.11%),"31,377,520 "
23:34:11,528.39,+0.59,(+0.11%),"31,377,520 "
23:34:31,528.39,+0.59,(+0.11%),"31,377,520 "
23:34:51,528.39,+0.59,(+0.11%),"31,377,520 "
23:35:11,528.39,+0.59,(+0.11%),"31,377,520 "
23:35:31,528.39,+0.59,(+0.11%),"31,377,520 "
23:35:50,528.39,+0.59,(+0.11%),"31,377,520 "
23:36:10,528.39,+0.59,(+0.11%),"31,377,520 "
23:36:30,528.39,+0.59,(+0.11%),"31,377,520 "
23:36:49,528.39,+0.59,(+0.11%),"31,377,520 "
23:37:09,528.39,+0.59,(+0.11%),"31,377,520 "
23:37:29,528.39,+0.59,(+0.11%),"31,377,520 "
23:37:49,528.39,+0.59,(+0.11%),"31,377,520 "
23:38:08,528.39,+0.59,(+0.11%),"31,377,520 "
23:38:28,528.39,+0.59,(+0.11%),"31,377,520 "
23:38:47,528.39,+0.59,(+0.11%),"31,377,520 "
23:39:07,528.39,+0.59,(+0.11%),"31,377,520 "
