TimeOfDay,Price,10minStDev,10minAverage,Bollinger,Volume
09:30:01,533.5,0.0,533.5,--,2475417.0
09:31:01,534.66,0.41012193308822653,534.0799999999999,--,30312997.0
09:32:01,533.07,0.5130879644459178,533.7433333333333,--,2852222.0
09:33:01,532.99,0.5265460041102058,533.555,--,2920317.0
09:34:01,532.87,0.5309061645484447,533.418,--,2992529.0
09:35:01,532.57,0.5640160393043467,533.2766666666666,--,3168387.0
09:36:01,532.96,0.5321597537989006,533.2314285714286,--,3356163.0
09:37:01,532.85,0.5115841924164432,533.1837499999999,--,3522926.0
09:38:01,532.76,0.4984002034533357,533.1366666666668,--,3616529.0
09:39:01,532.97,0.47519731325218273,533.12,--,3692995.0
09:40:01,532.85,0.45908731582894,533.0954545454546,0,3764387.0
09:41:01,532.96,0.45982521153459316,533.0463636363636,0,3850169.0
09:42:01,533.01,0.42665130535065726,532.8963636363636,0,3925706.0
09:43:01,533.22,0.3867189397710313,532.91,0,4034210.0
09:44:01,533.78,0.42243193502622034,532.9818181818182,1,4137379.0
09:45:01,533.71,0.43562902056876246,533.0581818181819,0,4245810.0
09:46:01,533.66,0.4090850114079096,533.1572727272728,0,4302543.0
09:47:01,533.76,0.43149660725062317,533.2300000000001,0,4364150.0
09:48:01,533.53,0.42569985785646947,533.2918181818183,0,4473107.0
09:49:01,533.65,0.41870215561471713,533.3727272727274,0,4534793.0
09:50:02,533.89,0.4363033704939559,533.4563636363637,0,4607875.0
09:51:01,533.93,0.444633160744117,533.5545454545455,0,4713857.0
09:52:01,534.22,0.4739320312532968,533.669090909091,0,4843245.0
09:53:01,534.05,0.4805128114664698,533.7636363636364,0,4937990.0
09:54:01,534.12,0.47854831507088796,533.8454545454546,0,5073642.0
09:55:01,534.03,0.416498859271603,533.8681818181818,0,5157517.0
09:56:01,533.83,0.3675134224792637,533.8790909090908,0,5315892.0
09:57:01,533.84,0.3352160454765797,533.8954545454545,0,5411867.0
09:58:01,533.73,0.2987318551178923,533.8927272727274,0,5498495.0
09:59:01,533.9,0.29008030184352285,533.9263636363637,0,5626868.0
10:00:01,534.04,0.27877078040747955,533.9618181818182,0,5787958.0
10:01:01,534.21,0.2549161998984832,533.9909090909091,0,5862603.0
10:02:01,534.14,0.2317402234821438,534.0100000000001,0,5959171.0
10:03:00,534.09,0.16394805026461767,533.9981818181818,--,6061958.11
10:04:00,534.2,0.15047707753679432,534.0118181818181,--,6164745.21
10:05:00,534.09,0.12800849896654326,534.0090909090909,--,6267532.32
10:06:00,534.18,0.1274924313836293,534.0227272727273,--,6370319.42
10:07:00,534.24,0.13777042937301373,534.06,--,6474019.48
10:08:00,534.26,0.14519501639996177,534.0981818181818,--,6577719.53
10:09:00,534.26,0.1408837620530509,534.1463636363637,--,6681419.59
10:10:00,534.06,0.14391227814768873,534.1609090909092,--,6785119.65
10:11:00,534.04,0.1465744593243629,534.1609090909092,--,6889726.37
10:12:00,534.05,0.13403185420416,534.1463636363636,--,6994333.08
10:13:00,534.27,0.13253240534799893,534.1581818181819,--,7098939.8
10:14:00,534.26,0.13219865296870584,534.1736363636363,--,7203546.52
10:15:00,534.15,0.11954207643784272,534.1690909090909,--,7308131.53
10:16:00,534.35,0.12626876752743352,534.1927272727272,--,7412716.54
10:17:00,534.51,0.1455936834521353,534.2227272727273,--,7517301.55
10:18:00,534.57,0.16553898490132687,534.2527272727274,--,7621886.56
10:19:00,534.63,0.18909726626313253,534.2863636363636,--,7725860.13
10:20:00,534.54,0.19828566541467285,534.3118181818182,--,7829833.7
10:21:00,534.6,0.2087780627582742,534.3609090909092,--,7933807.27
10:22:00,534.56,0.2106053669449359,534.4081818181819,--,8037780.85
10:23:00,534.6,0.212929197094225,534.4581818181819,--,8140867.15
10:24:00,534.61,0.21338036358630627,534.4890909090909,--,8243953.45
10:25:00,534.63,0.2142410994304914,534.5227272727273,--,8347039.75
10:26:00,534.58,0.21423391023482258,534.5618181818182,--,8450126.05
10:27:00,534.56,0.20901507787681092,534.5809090909091,--,8552476.04
10:28:00,534.67,0.19154675088889817,534.5954545454546,--,8654826.03
10:29:00,534.64,0.1663478292630073,534.6018181818182,--,8757176.03
10:30:00,534.6,0.13014065095423036,534.599090909091,--,8859526.02
10:31:00,534.57,0.11088402372183721,534.6018181818182,--,8961321.0
10:32:00,534.59,0.08431676169971371,534.6009090909091,--,9063115.98
10:33:00,534.43,0.08552704854640539,534.5890909090909,--,9164910.95
10:34:00,534.59,0.07407278082741255,534.5881818181817,--,9266705.93
