lastPrice,bidCall,askCall,change,%change,Volume,OpenInterest,impliedVolatility,Underlying,STRIKE,TIME,lastPrice,bidPut,askPut,change,%change,Volume,OpenInterest,impliedVolatility
0.22 ,0.00 ,0.00 ,0.00 ,0.00% ,"79,633 ","17,712 ",1.56% ,547.35,550.0,09:30:01,3.30 ,0.00 ,0.00 ,0.00 ,0.00% ,"6,007 ","1,461 ",0.00% 
0.13 ,0.00 ,0.00 ,-0.09 ,-40.91% ,"2,141 ","17,712 ",1.56% ,547.34,550.0,09:31:01,2.96 ,0.00 ,0.00 ,-0.34 ,-9.34% ,1 ,"1,461 ",0.00% 
0.16 ,0.15 ,0.16 ,-0.06 ,-28.57% ,"4,394 ","17,712 ",7.50% ,547.49,550.0,09:32:01,2.85 ,2.76 ,2.82 ,-0.45 ,-13.55% ,30 ,"1,461 ",12.11% 
0.17 ,0.15 ,0.16 ,-0.05 ,-22.73% ,"5,928 ","17,712 ",7.45% ,547.55,550.0,09:33:02,2.85 ,2.76 ,2.82 ,-0.45 ,-13.55% ,30 ,"1,461 ",12.32% 
0.19 ,0.16 ,0.17 ,-0.03 ,-13.64% ,"9,249 ","17,712 ",7.69% ,547.8,550.0,09:34:01,2.85 ,2.76 ,2.82 ,-0.45 ,-13.55% ,30 ,"1,461 ",11.99% 
0.25 ,0.19 ,0.20 ,0.03 ,13.64% ,"11,924 ","17,712 ",8.42% ,547.98,550.0,09:35:01,2.85 ,2.45 ,2.53 ,-0.45 ,-13.64% ,30 ,"1,461 ",6.79% 
0.31 ,0.32 ,0.33 ,0.09 ,40.91% ,"14,784 ","17,712 ",9.38% ,548.02,550.0,09:36:02,2.40 ,2.45 ,2.53 ,-0.90 ,-27.78% ,217 ,"1,461 ",10.21% 
0.33 ,0.31 ,0.32 ,0.11 ,50.00% ,"17,478 ","17,712 ",9.69% ,548.02,550.0,09:37:01,2.35 ,2.31 ,2.36 ,-0.95 ,-28.70% ,259 ,"1,461 ",5.71% 
0.35 ,0.34 ,0.35 ,0.13 ,59.09% ,"19,321 ","17,712 ",10.35% ,547.92,550.0,09:38:01,2.29 ,2.26 ,2.31 ,-1.01 ,-30.33% ,282 ,"1,461 ",0.00% 
0.33 ,0.35 ,0.36 ,0.11 ,50.00% ,"22,861 ","17,712 ",10.23% ,547.84,550.0,09:39:02,2.25 ,2.25 ,2.29 ,-1.05 ,-31.16% ,342 ,"1,461 ",0.00% 
0.27 ,0.27 ,0.28 ,0.05 ,22.73% ,"26,041 ","17,712 ",8.84% ,547.93,550.0,09:40:03,2.46 ,2.34 ,2.41 ,-0.84 ,-25.77% ,365 ,"1,461 ",8.47% 
0.30 ,0.29 ,0.30 ,0.08 ,34.78% ,"27,602 ","17,712 ",9.06% ,548.1,550.0,09:41:01,2.39 ,2.35 ,2.41 ,-0.91 ,-27.25% ,400 ,"1,461 ",8.67% 
0.31 ,0.31 ,0.32 ,0.09 ,42.86% ,"28,781 ","17,712 ",8.86% ,548.16,550.0,09:42:01,2.32 ,2.35 ,2.39 ,-0.98 ,-29.61% ,422 ,"1,461 ",9.96% 
0.35 ,0.31 ,0.32 ,0.13 ,59.09% ,"31,476 ","17,712 ",9.18% ,547.82,550.0,09:43:02,2.17 ,2.21 ,2.26 ,-1.13 ,-34.24% ,442 ,"1,461 ",7.08% 
0.31 ,0.30 ,0.31 ,0.09 ,40.91% ,"33,138 ","17,712 ",9.13% ,547.86,550.0,09:44:02,2.34 ,2.19 ,2.24 ,-0.96 ,-29.00% ,473 ,"1,461 ",6.45% 
0.30 ,0.27 ,0.28 ,0.08 ,38.10% ,"35,022 ","17,712 ",9.62% ,547.9,550.0,09:45:02,2.45 ,2.39 ,2.44 ,-0.85 ,-25.30% ,513 ,"1,461 ",0.00% 
0.30 ,0.29 ,0.30 ,0.08 ,36.36% ,"36,662 ","17,712 ",9.60% ,547.72,550.0,09:46:02,2.46 ,2.51 ,2.56 ,-0.84 ,-24.63% ,577 ,"1,461 ",8.25% 
0.28 ,0.29 ,0.30 ,0.06 ,27.27% ,"39,952 ","17,712 ",9.35% ,547.76,550.0,09:47:02,2.50 ,2.42 ,2.46 ,-0.80 ,-24.24% ,581 ,"1,461 ",8.03% 
0.29 ,0.26 ,0.27 ,0.07 ,31.82% ,"41,585 ","17,712 ",8.79% ,547.7,550.0,09:48:01,2.56 ,2.55 ,2.60 ,-0.74 ,-22.22% ,612 ,"1,461 ",10.47% 
0.25 ,0.26 ,0.27 ,0.03 ,14.29% ,"43,327 ","17,712 ",8.69% ,547.62,550.0,09:49:01,2.62 ,2.50 ,2.54 ,-0.68 ,-21.05% ,621 ,"1,461 ",10.13% 
0.24 ,0.24 ,0.25 ,0.02 ,9.09% ,"44,273 ","17,712 ",8.62% ,547.87,550.0,09:50:01,2.64 ,2.58 ,2.62 ,-0.66 ,-20.06% ,649 ,"1,461 ",10.45% 
0.28 ,0.27 ,0.28 ,0.06 ,27.27% ,"45,965 ","17,712 ",9.47% ,547.7,550.0,09:51:01,2.50 ,2.58 ,2.63 ,-0.80 ,-23.26% ,703 ,"1,461 ",8.67% 
0.28 ,0.28 ,0.29 ,0.06 ,27.27% ,"47,347 ","17,712 ",9.21% ,547.59,550.0,09:52:01,2.40 ,2.49 ,2.55 ,-0.90 ,-26.79% ,"1,412 ","1,461 ",9.33% 
0.26 ,0.25 ,0.26 ,0.04 ,18.18% ,"48,221 ","17,712 ",8.77% ,547.72,550.0,09:53:02,2.65 ,2.60 ,2.65 ,-0.65 ,-19.76% ,"1,533 ","1,461 ",10.67% 
0.26 ,0.24 ,0.25 ,0.04 ,18.18% ,"48,685 ","17,712 ",8.47% ,547.83,550.0,09:54:02,2.65 ,2.60 ,2.65 ,-0.65 ,-19.76% ,"1,533 ","1,461 ",11.28% 
0.28 ,0.26 ,0.27 ,0.06 ,27.27% ,"49,374 ","17,712 ",8.72% ,547.86,550.0,09:55:02,2.55 ,2.51 ,2.56 ,-0.75 ,-22.73% ,"1,543 ","1,461 ",10.28% 
