lastPrice,bidCall,askCall,change,%change,Volume,OpenInterest,impliedVolatility,STRIKE,TIME,lastPrice,bidPut,askPut,change,%change,Volume,OpenInterest,impliedVolatility
1.14 ,0.00 ,0.00 ,0.00 ,0.00% ,"100,757 ","13,345 ",0.00% ,529.0,09:33:41,1.63 ,0.00 ,0.00 ,0.00 ,0.00% ,"20,531 ","7,689 ",1.56% 
1.14 ,0.00 ,0.00 ,0.00 ,0.00% ,"100,757 ","13,345 ",0.00% ,529.0,09:34:41,1.63 ,0.00 ,0.00 ,0.00 ,0.00% ,"20,531 ","7,689 ",1.56% 
1.14 ,0.00 ,0.00 ,0.00 ,0.00% ,"100,757 ","13,345 ",0.00% ,529.0,09:35:40,1.63 ,0.00 ,0.00 ,0.00 ,0.00% ,"20,531 ","7,689 ",1.56% 
1.14 ,0.00 ,0.00 ,0.00 ,0.00% ,"100,757 ","13,345 ",0.00% ,529.0,09:36:40,1.63 ,0.00 ,0.00 ,0.00 ,0.00% ,"20,531 ","7,689 ",1.56% 
1.14 ,0.00 ,0.00 ,0.00 ,0.00% ,"100,757 ","13,345 ",0.00% ,529.0,09:37:40,1.63 ,0.00 ,0.00 ,0.00 ,0.00% ,"20,531 ","7,689 ",1.56% 
1.14 ,0.00 ,0.00 ,0.00 ,0.00% ,"100,757 ","13,345 ",0.00% ,529.0,09:38:40,1.63 ,0.00 ,0.00 ,0.00 ,0.00% ,"20,531 ","7,689 ",0.78% 
1.14 ,0.00 ,0.00 ,0.00 ,0.00% ,"100,757 ","13,345 ",0.00% ,529.0,09:39:40,1.63 ,0.00 ,0.00 ,0.00 ,0.00% ,"20,531 ","7,689 ",0.78% 
1.14 ,0.00 ,0.00 ,0.00 ,0.00% ,"100,757 ","13,345 ",0.00% ,529.0,09:40:40,1.63 ,0.00 ,0.00 ,0.00 ,0.00% ,"20,531 ","7,689 ",0.78% 
1.14 ,0.00 ,0.00 ,0.00 ,0.00% ,"100,757 ","13,345 ",0.00% ,529.0,09:41:40,1.63 ,0.00 ,0.00 ,0.00 ,0.00% ,"20,531 ","7,689 ",0.78% 
1.14 ,0.00 ,0.00 ,0.00 ,0.00% ,"100,757 ","13,345 ",0.00% ,529.0,09:42:40,1.63 ,0.00 ,0.00 ,0.00 ,0.00% ,"20,531 ","7,689 ",0.78% 
1.14 ,0.00 ,0.00 ,0.00 ,0.00% ,"100,757 ","13,345 ",0.00% ,529.0,09:43:40,1.63 ,0.00 ,0.00 ,0.00 ,0.00% ,"20,531 ","7,689 ",1.56% 
