lastPrice,bidCall,askCall,change,%change,Volume,OpenInterest,impliedVolatility,Underlying,STRIKE,TIME,lastPrice,bidPut,askPut,change,%change,Volume,OpenInterest,impliedVolatility
15.90 ,16.27 ,16.62 ,-3.13 ,-16.45% ,12 ,31 ,45.17% ,533.57,528.0,10:25:03,0.01 ,0.00 ,0.01 ,-0.03 ,-75.00% ,55 ,"12,382 ",22.27% 
15.35 ,16.49 ,16.86 ,-3.68 ,-19.34% ,29 ,31 ,42.24% ,533.57,528.0,15:18:05,0.01 ,0.00 ,0.01 ,-0.03 ,-75.00% ,217 ,"12,382 ",22.66% 
15.35 ,16.40 ,16.77 ,-3.68 ,-19.34% ,29 ,31 ,34.82% ,533.57,528.0,15:28:04,0.01 ,0.00 ,0.01 ,-0.03 ,-75.00% ,217 ,"12,382 ",22.66% 
