lastPrice,bidCall,askCall,change,%change,Volume,OpenInterest,impliedVolatility,Underlying,STRIKE,TIME,lastPrice,bidPut,askPut,change,%change,Volume,OpenInterest,impliedVolatility
13.00 ,13.41 ,13.78 ,-2.87 ,-18.08% ,15 ,433 ,41.58% ,533.57,531.0,10:25:03,0.01 ,0.00 ,0.01 ,-0.03 ,-75.00% ,"1,283 ","13,379 ",18.36% 
13.00 ,13.49 ,13.85 ,-2.87 ,-18.08% ,32 ,433 ,36.04% ,533.57,531.0,15:18:05,0.01 ,0.00 ,0.01 ,-0.03 ,-75.00% ,"1,454 ","13,379 ",18.75% 
13.60 ,13.32 ,13.68 ,-2.27 ,-14.30% ,35 ,433 ,25.98% ,533.57,531.0,15:28:04,0.01 ,0.00 ,0.01 ,-0.03 ,-75.00% ,"1,458 ","13,379 ",19.14% 
