TimeOfDay,Price,10minSD,10minAverage,Bollinger,Volume
09:33:01,548.92,0.18013883534652161,549.19,0,"1,500,119 "
09:34:01,549.0,0.17814600753314433,549.152,0,"1,606,267 "
09:35:01,548.98,0.1748014746950173,549.1233333333333,0,"1,692,482 "
09:36:01,549.06,0.16334513354569036,549.1142857142858,0,"1,783,728 "
09:37:02,549.12,0.1528070678993562,549.115,0,"1,901,531 "
09:38:01,549.03,0.14652349914763807,549.1055555555555,0,"1,961,833 "
09:39:01,549.21,0.1424921050444548,549.116,0,"2,065,013 "
09:40:01,549.28,0.14380887224207273,549.1309090909091,0,"2,137,575 "
09:41:02,549.44,0.14753063836438585,549.1327272727272,1,"2,247,082 "
09:42:02,549.42,0.16666887050885437,549.1481818181818,0,"2,364,006 "
09:43:01,549.62,0.21517242749414514,549.1890909090909,1,"2,541,978 "
09:44:01,549.8,0.25931569196477827,549.2690909090909,1,"2,632,303 "
09:45:01,549.96,0.31055003190154884,549.3563636363635,0,"2,728,951 "
09:46:01,549.98,0.33265026431240796,549.4472727272728,0,"2,891,074 "
09:47:01,549.95,0.3368252360934797,549.5281818181818,0,"2,979,322 "
09:48:01,550.04,0.33929922920948746,549.6118181818182,0,"3,099,594 "
09:49:01,550.07,0.3074018018304353,549.7063636363637,0,"3,189,612 "
09:50:01,549.99,0.2727333332660058,549.7772727272727,0,"3,300,600 "
09:51:01,549.99,0.22770867280238624,549.8418181818182,0,"3,387,024 "
09:52:01,549.82,0.18979763037475897,549.8763636363636,0,"3,487,549 "
09:53:01,549.97,0.1240434474670288,549.9263636363636,0,"4,052,808 "
09:54:01,550.02,0.0795545449351267,549.9627272727273,0,"4,099,241 "
09:55:01,549.85,0.07110695006190206,549.9672727272728,0,"4,135,072 "
09:56:01,549.89,0.0745232782978801,549.9609090909091,0,"4,183,683 "
09:57:01,549.69,0.10722649234752603,549.9345454545454,-1,"4,227,365 "
