lastPrice,bidCall,askCall,change,%change,Volume,OpenInterest,impliedVolatility,Underlying,STRIKE,TIME,lastPrice,bidPut,askPut,change,%change,Volume,OpenInterest,impliedVolatility
9.69 ,0.00 ,0.00 ,0.00 ,0.00% ,426 ,"3,920 ",0.00% ,540.82,533.0,09:30:02,0.03 ,0.00 ,0.00 ,0.00 ,0.00% ,"7,811 ","13,445 ",6.25% 
8.00 ,0.00 ,0.00 ,-1.69 ,-14.85% ,1 ,"3,920 ",0.00% ,540.99,533.0,09:31:02,0.07 ,0.00 ,0.00 ,0.04 ,200.00% ,127 ,"13,445 ",6.25% 
-,-,-,-,-,-,-,-,533.0,0.06 ,0.06 ,0.07 ,0.03 ,100.00% ,408 ,"13,445 ",16.99% 
8.00 ,7.91 ,8.09 ,-1.69 ,-17.44% ,1 ,"3,920 ",0.00% ,541.05,533.0,09:33:02,0.05 ,0.06 ,0.07 ,0.02 ,50.00% ,527 ,"13,445 ",16.90% 
8.00 ,7.91 ,8.09 ,-1.69 ,-17.44% ,1 ,"3,920 ",0.00% ,541.17,533.0,09:34:02,0.05 ,0.05 ,0.06 ,0.02 ,66.67% ,570 ,"13,445 ",16.21% 
8.15 ,8.17 ,8.23 ,-1.54 ,-15.89% ,9 ,"3,920 ",0.00% ,541.12,533.0,09:35:02,0.06 ,0.05 ,0.06 ,0.03 ,100.00% ,625 ,"13,445 ",16.41% 
8.15 ,8.17 ,8.23 ,-1.54 ,-15.89% ,9 ,"3,920 ",0.00% ,541.12,533.0,09:36:02,0.06 ,0.05 ,0.06 ,0.03 ,100.00% ,670 ,"13,445 ",16.02% 
8.15 ,8.17 ,8.23 ,-1.54 ,-15.89% ,9 ,"3,920 ",15.72% ,541.38,533.0,09:37:02,0.05 ,0.05 ,0.06 ,0.02 ,66.67% ,683 ,"13,445 ",15.92% 
8.17 ,8.14 ,8.25 ,-1.52 ,-15.69% ,13 ,"3,920 ",0.00% ,541.4,533.0,09:38:02,0.06 ,0.05 ,0.06 ,0.03 ,150.00% ,701 ,"13,445 ",16.11% 
8.17 ,8.14 ,8.25 ,-1.52 ,-15.69% ,13 ,"3,920 ",0.00% ,541.54,533.0,09:39:02,0.04 ,0.04 ,0.05 ,0.01 ,33.33% ,763 ,"13,445 ",15.72% 
8.46 ,8.40 ,8.57 ,-1.23 ,-13.09% ,17 ,"3,920 ",22.56% ,541.51,533.0,09:40:03,0.05 ,0.04 ,0.05 ,0.02 ,66.67% ,797 ,"13,445 ",15.63% 
8.58 ,8.40 ,8.57 ,-1.11 ,-11.47% ,107 ,"3,920 ",22.66% ,541.37,533.0,09:41:03,0.05 ,0.04 ,0.05 ,0.02 ,66.67% ,820 ,"13,445 ",15.63% 
8.58 ,8.40 ,8.57 ,-1.11 ,-11.47% ,107 ,"3,920 ",23.29% ,541.53,533.0,09:42:02,0.05 ,0.04 ,0.05 ,0.02 ,66.67% ,820 ,"13,445 ",15.53% 
