lastPrice,bidCall,askCall,change,%change,Volume,OpenInterest,impliedVolatility,Underlying,STRIKE,TIME,lastPrice,bidPut,askPut,change,%change,Volume,OpenInterest,impliedVolatility
0.07 ,0.00 ,0.00 ,0.00 ,0.00% ,"19,114 ","10,048 ",6.25% ,540.82,547.0,09:30:02,4.60 ,0.00 ,0.00 ,0.00 ,0.00% ,"1,081 ",119 ,0.00% 
0.02 ,0.03 ,0.04 ,-0.05 ,-71.43% ,161 ,"10,048 ",10.65% ,540.99,547.0,09:31:02,4.60 ,5.80 ,6.69 ,0.00 ,0.00% ,"1,081 ",119 ,27.91% 
0.02 ,0.02 ,0.03 ,-0.05 ,-62.50% ,311 ,"10,048 ",9.96% ,540.76,547.0,09:32:03,4.60 ,5.80 ,6.69 ,0.00 ,0.00% ,"1,081 ",119 ,28.66% 
0.02 ,0.02 ,0.03 ,-0.05 ,-71.43% ,376 ,"10,048 ",10.06% ,541.05,547.0,09:33:02,6.25 ,5.86 ,6.22 ,1.65 ,35.87% ,2 ,119 ,22.51% 
0.03 ,0.02 ,0.03 ,-0.04 ,-57.14% ,938 ,"10,048 ",10.25% ,541.17,547.0,09:34:02,6.25 ,5.86 ,6.22 ,1.65 ,35.87% ,2 ,119 ,21.56% 
0.03 ,0.02 ,0.03 ,-0.04 ,-57.14% ,"1,212 ","10,048 ",10.16% ,541.12,547.0,09:35:02,6.25 ,5.86 ,6.22 ,1.65 ,35.87% ,2 ,119 ,22.32% 
0.03 ,0.02 ,0.03 ,-0.04 ,-57.14% ,"1,301 ","10,048 ",10.45% ,541.12,547.0,09:36:02,6.00 ,5.80 ,6.09 ,1.40 ,30.43% ,12 ,119 ,17.97% 
0.03 ,0.02 ,0.03 ,-0.04 ,-66.67% ,"1,618 ","10,048 ",10.55% ,541.38,547.0,09:37:02,6.00 ,5.80 ,6.09 ,1.40 ,30.43% ,12 ,119 ,16.92% 
0.03 ,0.02 ,0.03 ,-0.04 ,-57.14% ,"1,655 ","10,048 ",10.35% ,541.4,547.0,09:38:02,6.00 ,5.80 ,6.09 ,1.40 ,30.43% ,12 ,119 ,18.80% 
0.02 ,0.02 ,0.03 ,-0.05 ,-71.43% ,"1,740 ","10,048 ",10.25% ,541.54,547.0,09:39:02,5.70 ,5.80 ,6.03 ,1.10 ,22.45% ,72 ,119 ,18.53% 
